GEO_ID,NAME,housing_units,vacant_units,owner_units,renter_units
1400000US36001000100,"Census Tract 1, Albany County, New York",957,120,216,621
1400000US36001000200,"Census Tract 2, Albany County, New York",2978,845,408,1725
1400000US36001000300,"Census Tract 3, Albany County, New York",2908,428,914,1566
1400000US36001000401,"Census Tract 4.01, Albany County, New York",1131,102,673,356
1400000US36001000403,"Census Tract 4.03, Albany County, New York",2472,300,1144,1028
1400000US36001000404,"Census Tract 4.04, Albany County, New York",18,13,5,0
1400000US36001000501,"Census Tract 5.01, Albany County, New York",1712,309,313,1090
1400000US36001000502,"Census Tract 5.02, Albany County, New York",982,120,336,526
1400000US36001000600,"Census Tract 6, Albany County, New York",1749,336,171,1242
1400000US36001000700,"Census Tract 7, Albany County, New York",2051,603,381,1067
1400000US36001000800,"Census Tract 8, Albany County, New York",1240,412,125,703
1400000US36001001100,"Census Tract 11, Albany County, New York",1027,182,77,768
1400000US36001001400,"Census Tract 14, Albany County, New York",3013,202,275,2536
1400000US36001001500,"Census Tract 15, Albany County, New York",2644,452,290,1902
1400000US36001001600,"Census Tract 16, Albany County, New York",2121,221,720,1180
1400000US36001001700,"Census Tract 17, Albany County, New York",2163,176,917,1070
1400000US36001001801,"Census Tract 18.01, Albany County, New York",3484,93,2470,921
1400000US36001001802,"Census Tract 18.02, Albany County, New York",2142,196,1234,712
1400000US36001001901,"Census Tract 19.01, Albany County, New York",1273,42,885,346
1400000US36001001902,"Census Tract 19.02, Albany County, New York",1211,183,987,41
1400000US36001002000,"Census Tract 20, Albany County, New York",2704,345,1097,1262
1400000US36001002100,"Census Tract 21, Albany County, New York",1359,290,191,878
1400000US36001002200,"Census Tract 22, Albany County, New York",1614,120,321,1173
1400000US36001002300,"Census Tract 23, Albany County, New York",1340,302,214,824
1400000US36001002500,"Census Tract 25, Albany County, New York",1895,513,159,1223
1400000US36001002600,"Census Tract 26, Albany County, New York",2437,513,653,1271
1400000US36001012700,"Census Tract 127, Albany County, New York",1532,175,432,925
1400000US36001012800,"Census Tract 128, Albany County, New York",2052,422,436,1194
1400000US36001012900,"Census Tract 129, Albany County, New York",1904,242,280,1382
1400000US36001013000,"Census Tract 130, Albany County, New York",3008,173,1916,919
1400000US36001013100,"Census Tract 131, Albany County, New York",1355,108,485,762
1400000US36001013200,"Census Tract 132, Albany County, New York",1704,186,340,1178
1400000US36001013300,"Census Tract 133, Albany County, New York",2277,145,746,1386
1400000US36001013400,"Census Tract 134, Albany County, New York",1281,215,460,606
1400000US36001013503,"Census Tract 135.03, Albany County, New York",2200,61,1236,903
1400000US36001013505,"Census Tract 135.05, Albany County, New York",1040,71,813,156
1400000US36001013506,"Census Tract 135.06, Albany County, New York",2839,50,1717,1072
1400000US36001013507,"Census Tract 135.07, Albany County, New York",962,6,612,344
1400000US36001013508,"Census Tract 135.08, Albany County, New York",2662,124,2017,521
1400000US36001013601,"Census Tract 136.01, Albany County, New York",3626,297,1719,1610
1400000US36001013602,"Census Tract 136.02, Albany County, New York",2097,134,659,1304
1400000US36001013703,"Census Tract 137.03, Albany County, New York",616,30,521,65
1400000US36001013705,"Census Tract 137.05, Albany County, New York",2942,217,2047,678
1400000US36001013706,"Census Tract 137.06, Albany County, New York",783,20,702,61
1400000US36001013707,"Census Tract 137.07, Albany County, New York",2575,185,1863,527
1400000US36001013801,"Census Tract 138.01, Albany County, New York",3154,196,2355,603
1400000US36001013802,"Census Tract 138.02, Albany County, New York",1569,90,1434,45
1400000US36001013901,"Census Tract 139.01, Albany County, New York",938,35,801,102
1400000US36001013902,"Census Tract 139.02, Albany County, New York",2275,165,1582,528
1400000US36001014001,"Census Tract 140.01, Albany County, New York",1998,142,912,944
1400000US36001014002,"Census Tract 140.02, Albany County, New York",2009,134,1198,677
1400000US36001014100,"Census Tract 141, Albany County, New York",2483,161,1662,660
1400000US36001014201,"Census Tract 142.01, Albany County, New York",2449,118,1610,721
1400000US36001014202,"Census Tract 142.02, Albany County, New York",2694,145,1637,912
1400000US36001014203,"Census Tract 142.03, Albany County, New York",2656,49,2113,494
1400000US36001014301,"Census Tract 143.01, Albany County, New York",1256,54,910,292
1400000US36001014302,"Census Tract 143.02, Albany County, New York",3292,200,2617,475
1400000US36001014401,"Census Tract 144.01, Albany County, New York",1940,245,1246,449
1400000US36001014402,"Census Tract 144.02, Albany County, New York",1518,155,820,543
1400000US36001014501,"Census Tract 145.01, Albany County, New York",1010,63,847,100
1400000US36001014502,"Census Tract 145.02, Albany County, New York",1417,127,1171,119
1400000US36001014503,"Census Tract 145.03, Albany County, New York",1191,94,931,166
1400000US36001014606,"Census Tract 146.06, Albany County, New York",1491,94,1267,130
1400000US36001014607,"Census Tract 146.07, Albany County, New York",3218,180,2478,560
1400000US36001014608,"Census Tract 146.08, Albany County, New York",1192,41,871,280
1400000US36001014609,"Census Tract 146.09, Albany County, New York",2524,49,1240,1235
1400000US36001014611,"Census Tract 146.11, Albany County, New York",936,38,696,202
1400000US36001014612,"Census Tract 146.12, Albany County, New York",701,11,486,204
1400000US36001014613,"Census Tract 146.13, Albany County, New York",1241,117,900,224
1400000US36001014614,"Census Tract 146.14, Albany County, New York",2443,76,1290,1077
1400000US36001014615,"Census Tract 146.15, Albany County, New York",1348,116,251,981
1400000US36001014700,"Census Tract 147, Albany County, New York",1140,163,903,74
1400000US36001014801,"Census Tract 148.01, Albany County, New York",1627,470,1058,99
1400000US36001014802,"Census Tract 148.02, Albany County, New York",1304,594,641,69
1400000US36001014803,"Census Tract 148.03, Albany County, New York",1736,421,1149,166
1400000US36003940200,"Census Tract 9402, Allegany County, New York",2,1,1,0
1400000US36003950100,"Census Tract 9501, Allegany County, New York",1725,741,848,136
1400000US36003950300,"Census Tract 9503, Allegany County, New York",1987,434,1159,394
1400000US36003950400,"Census Tract 9504, Allegany County, New York",3215,1762,1223,230
1400000US36003950500,"Census Tract 9505, Allegany County, New York",2435,801,1278,356
1400000US36003950600,"Census Tract 9506, Allegany County, New York",2087,508,1153,426
1400000US36003950700,"Census Tract 9507, Allegany County, New York",1943,338,1032,573
